"Town","FIPS","Year","Entry","Rank","Variable","Measure Type","Value"
"Darien","0900118850",2016,"CT Light & Power",1,"Percent of Top 10 Total Grand List","Percent",30.63
"Darien","0900118850",2016,"Darien Financing LLC",2,"Percent of Top 10 Total Grand List","Percent",13.58
"Darien","0900118850",2016,"Steinkraus William Clark TR &",3,"Percent of Top 10 Total Grand List","Percent",11.2
"Darien","0900118850",2016,"Wee Burn Country Club of Darien Inc.",4,"Percent of Top 10 Total Grand List","Percent",7.78
"Darien","0900118850",2016,"Country Club of Darien Inc.",5,"Percent of Top 10 Total Grand List","Percent",7.25
"Darien","0900118850",2016,"Contentamiento LLC",6,"Percent of Top 10 Total Grand List","Percent",6.57
"Darien","0900118850",2016,"UB Darien Inc.",7,"Percent of Top 10 Total Grand List","Percent",6.33
"Darien","0900118850",2016,"Walsh Kevin A TR ET Al",8,"Percent of Top 10 Total Grand List","Percent",6.06
"Darien","0900118850",2016,"Woodway Country Club",9,"Percent of Top 10 Total Grand List","Percent",6.01
"Darien","0900118850",2016,"Suhler John &",10,"Percent of Top 10 Total Grand List","Percent",4.6
"Darien","0900118850",2016,"CT Light & Power",1,"Percent of Total Grand List","Percent",1.02
"Darien","0900118850",2016,"Darien Financing LLC",2,"Percent of Total Grand List","Percent",0.45
"Darien","0900118850",2016,"Steinkraus William Clark TR &",3,"Percent of Total Grand List","Percent",0.37
"Darien","0900118850",2016,"Wee Burn Country Club of Darien Inc.",4,"Percent of Total Grand List","Percent",0.26
"Darien","0900118850",2016,"Country Club of Darien Inc.",5,"Percent of Total Grand List","Percent",0.24
"Darien","0900118850",2016,"Contentamiento LLC",6,"Percent of Total Grand List","Percent",0.22
"Darien","0900118850",2016,"UB Darien Inc.",7,"Percent of Total Grand List","Percent",0.21
"Darien","0900118850",2016,"Walsh Kevin A TR ET Al",8,"Percent of Total Grand List","Percent",0.2
"Darien","0900118850",2016,"Woodway Country Club",9,"Percent of Total Grand List","Percent",0.2
"Darien","0900118850",2016,"Suhler John &",10,"Percent of Total Grand List","Percent",0.15
"Deep River","0900719130",2016,"CT Light & Power",1,"Grand List Value","Number",6301619
"Deep River","0900719130",2016,"BDRM Inc",2,"Grand List Value","Number",4201110
"Deep River","0900719130",2016,"Mislick Family Limited Partner",3,"Grand List Value","Number",3300150
"Deep River","0900719130",2016,"Silgan Plastics Corp",4,"Grand List Value","Number",3171486
"Deep River","0900719130",2016,"CT Water Co",5,"Grand List Value","Number",3091630
"Deep River","0900719130",2016,"Smith & Wesson Corp",6,"Grand List Value","Number",2970762
"Deep River","0900719130",2016,"Matulaniec Zbigniew",7,"Grand List Value","Number",2579850
"Deep River","0900719130",2016,"Goodspeed Leasing Co",8,"Grand List Value","Number",2574180
"Deep River","0900719130",2016,"180 Main Street Partners LLC",9,"Grand List Value","Number",2314620
"Deep River","0900719130",2016,"Deep River Assoc LLC",10,"Grand List Value","Number",2284590
"Deep River","0900719130",2016,"CT Light & Power",1,"Percent of Net Grand List","Percent",1.26
"Deep River","0900719130",2016,"BDRM Inc",2,"Percent of Net Grand List","Percent",0.84
"Deep River","0900719130",2016,"Mislick Family Limited Partner",3,"Percent of Net Grand List","Percent",0.66
"Deep River","0900719130",2016,"Silgan Plastics Corp",4,"Percent of Net Grand List","Percent",0.64
"Deep River","0900719130",2016,"CT Water Co",5,"Percent of Net Grand List","Percent",0.62
"Deep River","0900719130",2016,"Smith & Wesson Corp",6,"Percent of Net Grand List","Percent",0.6
"Deep River","0900719130",2016,"Matulaniec Zbigniew",7,"Percent of Net Grand List","Percent",0.52
"Deep River","0900719130",2016,"Goodspeed Leasing Co",8,"Percent of Net Grand List","Percent",0.52
"Deep River","0900719130",2016,"180 Main Street Partners LLC",9,"Percent of Net Grand List","Percent",0.46
"Deep River","0900719130",2016,"Deep River Assoc LLC",10,"Percent of Net Grand List","Percent",0.46
"Deep River","0900719130",2016,"CT Light & Power",1,"Percent of Top 10 Total Grand List","Percent",19.22
"Deep River","0900719130",2016,"BDRM Inc",2,"Percent of Top 10 Total Grand List","Percent",12.81
"Deep River","0900719130",2016,"Mislick Family Limited Partner",3,"Percent of Top 10 Total Grand List","Percent",10.06
"Deep River","0900719130",2016,"Silgan Plastics Corp",4,"Percent of Top 10 Total Grand List","Percent",9.67
"Deep River","0900719130",2016,"CT Water Co",5,"Percent of Top 10 Total Grand List","Percent",9.43
"Deep River","0900719130",2016,"Smith & Wesson Corp",6,"Percent of Top 10 Total Grand List","Percent",9.06
"Deep River","0900719130",2016,"Matulaniec Zbigniew",7,"Percent of Top 10 Total Grand List","Percent",7.87
"Deep River","0900719130",2016,"Goodspeed Leasing Co",8,"Percent of Top 10 Total Grand List","Percent",7.85
"Deep River","0900719130",2016,"180 Main Street Partners LLC",9,"Percent of Top 10 Total Grand List","Percent",7.06
"Deep River","0900719130",2016,"Deep River Assoc LLC",10,"Percent of Top 10 Total Grand List","Percent",6.97
"Deep River","0900719130",2016,"CT Light & Power",1,"Percent of Total Grand List","Percent",1
"Deep River","0900719130",2016,"BDRM Inc",2,"Percent of Total Grand List","Percent",0.67
"Deep River","0900719130",2016,"Mislick Family Limited Partner",3,"Percent of Total Grand List","Percent",0.52
"Deep River","0900719130",2016,"Silgan Plastics Corp",4,"Percent of Total Grand List","Percent",0.5
"Deep River","0900719130",2016,"CT Water Co",5,"Percent of Total Grand List","Percent",0.49
"Deep River","0900719130",2016,"Smith & Wesson Corp",6,"Percent of Total Grand List","Percent",0.47
"Deep River","0900719130",2016,"Matulaniec Zbigniew",7,"Percent of Total Grand List","Percent",0.41
"Deep River","0900719130",2016,"Goodspeed Leasing Co",8,"Percent of Total Grand List","Percent",0.41
"Deep River","0900719130",2016,"180 Main Street Partners LLC",9,"Percent of Total Grand List","Percent",0.37
"Deep River","0900719130",2016,"Deep River Assoc LLC",10,"Percent of Total Grand List","Percent",0.36
"Derby","0900919550",2015,"United Illuminating Co.",1,"Grand List Value","Number",12267061
"Derby","0900919550",2015,"Antinozzi Peter, Concetta",2,"Grand List Value","Number",11265240
"Derby","0900919550",2015,"49 Pershing Dr LLC",3,"Grand List Value","Number",9425500
"Derby","0900919550",2015,"Home Depot USA Inc",4,"Grand List Value","Number",8203720
"Derby","0900919550",2015,"500 NHA LLC",5,"Grand List Value","Number",7291620
"Derby","0900919550",2015,"Yankee Gas Services",6,"Grand List Value","Number",6208344
"Derby","0900919550",2015,"Realty Income Trust",7,"Grand List Value","Number",5441380
"Derby","0900919550",2015,"Opuszynski Jean A",8,"Grand List Value","Number",4127760
"Derby","0900919550",2015,"Walgreen Eastern Co",9,"Grand List Value","Number",3775660
"Derby","0900919550",2015,"500 NHA LLC",10,"Grand List Value","Number",3644410
"Derby","0900919550",2015,"United Illuminating Co.",1,"Percent of Net Grand List","Percent",1.7
"Derby","0900919550",2015,"Antinozzi Peter, Concetta",2,"Percent of Net Grand List","Percent",1.56
"Derby","0900919550",2015,"49 Pershing Dr LLC",3,"Percent of Net Grand List","Percent",1.31
"Derby","0900919550",2015,"Home Depot USA Inc",4,"Percent of Net Grand List","Percent",1.14
"Derby","0900919550",2015,"500 NHA LLC",5,"Percent of Net Grand List","Percent",1.01
"Derby","0900919550",2015,"Yankee Gas Services",6,"Percent of Net Grand List","Percent",0.86
"Derby","0900919550",2015,"Realty Income Trust",7,"Percent of Net Grand List","Percent",0.75
"Derby","0900919550",2015,"Opuszynski Jean A",8,"Percent of Net Grand List","Percent",0.57
"Derby","0900919550",2015,"Walgreen Eastern Co",9,"Percent of Net Grand List","Percent",0.52
"Derby","0900919550",2015,"500 NHA LLC",10,"Percent of Net Grand List","Percent",0.5
"Derby","0900919550",2015,"United Illuminating Co.",1,"Percent of Top 10 Total Grand List","Percent",17.12
"Derby","0900919550",2015,"Antinozzi Peter, Concetta",2,"Percent of Top 10 Total Grand List","Percent",15.72
"Derby","0900919550",2015,"49 Pershing Dr LLC",3,"Percent of Top 10 Total Grand List","Percent",13.15
"Derby","0900919550",2015,"Home Depot USA Inc",4,"Percent of Top 10 Total Grand List","Percent",11.45
"Derby","0900919550",2015,"500 NHA LLC",5,"Percent of Top 10 Total Grand List","Percent",10.18
"Derby","0900919550",2015,"Yankee Gas Services",6,"Percent of Top 10 Total Grand List","Percent",8.66
"Derby","0900919550",2015,"Realty Income Trust",7,"Percent of Top 10 Total Grand List","Percent",7.59
"Derby","0900919550",2015,"Opuszynski Jean A",8,"Percent of Top 10 Total Grand List","Percent",5.76
"Derby","0900919550",2015,"Walgreen Eastern Co",9,"Percent of Top 10 Total Grand List","Percent",5.27
"Derby","0900919550",2015,"500 NHA LLC",10,"Percent of Top 10 Total Grand List","Percent",5.09
"Derby","0900919550",2015,"United Illuminating Co.",1,"Percent of Total Grand List","Percent",1.69
"Derby","0900919550",2015,"Antinozzi Peter, Concetta",2,"Percent of Total Grand List","Percent",1.55
"Derby","0900919550",2015,"49 Pershing Dr LLC",3,"Percent of Total Grand List","Percent",1.3
"Derby","0900919550",2015,"Home Depot USA Inc",4,"Percent of Total Grand List","Percent",1.13
"Derby","0900919550",2015,"500 NHA LLC",5,"Percent of Total Grand List","Percent",1
"Derby","0900919550",2015,"Yankee Gas Services",6,"Percent of Total Grand List","Percent",0.85
"Derby","0900919550",2015,"Realty Income Trust",7,"Percent of Total Grand List","Percent",0.75
"Derby","0900919550",2015,"Opuszynski Jean A",8,"Percent of Total Grand List","Percent",0.57
"Derby","0900919550",2015,"Walgreen Eastern Co",9,"Percent of Total Grand List","Percent",0.52
"Derby","0900919550",2015,"500 NHA LLC",10,"Percent of Total Grand List","Percent",0.5
"Durham","0900720810",2009,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Durham Mfg",2,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Hobson & Motzer Inc",3,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Stonegate Springs LLC",4,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Durham Manufacturing",5,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Tilcon Inc.",6,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Lynch Diana VKS & Theodore",7,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Dinatale Rentals",8,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Perma Treat Corp",9,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"The Signature Gordon",10,"Grand List Value","Number",-6666
"Durham","0900720810",2009,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Durham Mfg",2,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Hobson & Motzer Inc",3,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Stonegate Springs LLC",4,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Durham Manufacturing",5,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Tilcon Inc.",6,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Lynch Diana VKS & Theodore",7,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Dinatale Rentals",8,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Perma Treat Corp",9,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"The Signature Gordon",10,"Percent of Net Grand List","Percent",-6666
"Durham","0900720810",2009,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Durham Mfg",2,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Hobson & Motzer Inc",3,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Stonegate Springs LLC",4,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Durham Manufacturing",5,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Tilcon Inc.",6,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Lynch Diana VKS & Theodore",7,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Dinatale Rentals",8,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Perma Treat Corp",9,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"The Signature Gordon",10,"Percent of Top 10 Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Durham Mfg",2,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Hobson & Motzer Inc",3,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Stonegate Springs LLC",4,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Durham Manufacturing",5,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Tilcon Inc.",6,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Lynch Diana VKS & Theodore",7,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Dinatale Rentals",8,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"Perma Treat Corp",9,"Percent of Total Grand List","Percent",-6666
"Durham","0900720810",2009,"The Signature Gordon",10,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Whitecraft",1,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"Connecticut Light & Power",2,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"Yale University",3,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"CTR LLC",4,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"Chaplin Road LLC",5,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"Buchholz Michael G & Francis F",6,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"Andert Michael G & Laura S",7,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"One Hundred Chaplin Road LLC",8,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"Howe Barbara M",9,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"Scott Mary Josephine & George",10,"Grand List Value","Number",-6666
"Eastford","0901521860",2013,"Whitecraft",1,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"Connecticut Light & Power",2,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"Yale University",3,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"CTR LLC",4,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"Chaplin Road LLC",5,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"Buchholz Michael G & Francis F",6,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"Andert Michael G & Laura S",7,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"One Hundred Chaplin Road LLC",8,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"Howe Barbara M",9,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"Scott Mary Josephine & George",10,"Percent of Net Grand List","Percent",-6666
"Eastford","0901521860",2013,"Whitecraft",1,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Connecticut Light & Power",2,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Yale University",3,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"CTR LLC",4,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Chaplin Road LLC",5,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Buchholz Michael G & Francis F",6,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Andert Michael G & Laura S",7,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"One Hundred Chaplin Road LLC",8,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Howe Barbara M",9,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Scott Mary Josephine & George",10,"Percent of Top 10 Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Whitecraft",1,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Connecticut Light & Power",2,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Yale University",3,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"CTR LLC",4,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Chaplin Road LLC",5,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Buchholz Michael G & Francis F",6,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Andert Michael G & Laura S",7,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"One Hundred Chaplin Road LLC",8,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Howe Barbara M",9,"Percent of Total Grand List","Percent",-6666
"Eastford","0901521860",2013,"Scott Mary Josephine & George",10,"Percent of Total Grand List","Percent",-6666
"East Granby","0900322070",2016,"RSCC",1,"Grand List Value","Number",25611340
"East Granby","0900322070",2016,"CT Light & Power",2,"Grand List Value","Number",20331190
"East Granby","0900322070",2016,"Galasso",3,"Grand List Value","Number",13610970
"East Granby","0900322070",2016,"United Illuminating Company",4,"Grand List Value","Number",9492800
"East Granby","0900322070",2016,"MB Aerospace",5,"Grand List Value","Number",8855450
"East Granby","0900322070",2016,"Nufern",6,"Grand List Value","Number",8759200
"East Granby","0900322070",2016,"Barnes Group",7,"Grand List Value","Number",6950023
"East Granby","0900322070",2016,"Paines",8,"Grand List Value","Number",6475238
"East Granby","0900322070",2016,"BDL",9,"Grand List Value","Number",6363300
"East Granby","0900322070",2016,"Griffin Land",10,"Grand List Value","Number",4686400
"East Granby","0900322070",2016,"RSCC",1,"Percent of Net Grand List","Percent",4.4
"East Granby","0900322070",2016,"CT Light & Power",2,"Percent of Net Grand List","Percent",3.5
"East Granby","0900322070",2016,"Galasso",3,"Percent of Net Grand List","Percent",2.34
"East Granby","0900322070",2016,"United Illuminating Company",4,"Percent of Net Grand List","Percent",1.63
"East Granby","0900322070",2016,"MB Aerospace",5,"Percent of Net Grand List","Percent",1.52
"East Granby","0900322070",2016,"Nufern",6,"Percent of Net Grand List","Percent",1.51
"East Granby","0900322070",2016,"Barnes Group",7,"Percent of Net Grand List","Percent",1.2
"East Granby","0900322070",2016,"Paines",8,"Percent of Net Grand List","Percent",1.11
"East Granby","0900322070",2016,"BDL",9,"Percent of Net Grand List","Percent",1.09
"East Granby","0900322070",2016,"Griffin Land",10,"Percent of Net Grand List","Percent",0.81
"East Granby","0900322070",2016,"RSCC",1,"Percent of Top 10 Total Grand List","Percent",23.05
"East Granby","0900322070",2016,"CT Light & Power",2,"Percent of Top 10 Total Grand List","Percent",18.29
"East Granby","0900322070",2016,"Galasso",3,"Percent of Top 10 Total Grand List","Percent",12.25
"East Granby","0900322070",2016,"United Illuminating Company",4,"Percent of Top 10 Total Grand List","Percent",8.54
"East Granby","0900322070",2016,"MB Aerospace",5,"Percent of Top 10 Total Grand List","Percent",7.97
"East Granby","0900322070",2016,"Nufern",6,"Percent of Top 10 Total Grand List","Percent",7.88
"East Granby","0900322070",2016,"Barnes Group",7,"Percent of Top 10 Total Grand List","Percent",6.25
"East Granby","0900322070",2016,"Paines",8,"Percent of Top 10 Total Grand List","Percent",5.83
"East Granby","0900322070",2016,"BDL",9,"Percent of Top 10 Total Grand List","Percent",5.73
"East Granby","0900322070",2016,"Griffin Land",10,"Percent of Top 10 Total Grand List","Percent",4.22
"East Granby","0900322070",2016,"RSCC",1,"Percent of Total Grand List","Percent",4.05
"East Granby","0900322070",2016,"CT Light & Power",2,"Percent of Total Grand List","Percent",3.21
"East Granby","0900322070",2016,"Galasso",3,"Percent of Total Grand List","Percent",2.15
"East Granby","0900322070",2016,"United Illuminating Company",4,"Percent of Total Grand List","Percent",1.5
"East Granby","0900322070",2016,"MB Aerospace",5,"Percent of Total Grand List","Percent",1.4
"East Granby","0900322070",2016,"Nufern",6,"Percent of Total Grand List","Percent",1.38
"East Granby","0900322070",2016,"Barnes Group",7,"Percent of Total Grand List","Percent",1.1
"East Granby","0900322070",2016,"Paines",8,"Percent of Total Grand List","Percent",1.02
"East Granby","0900322070",2016,"BDL",9,"Percent of Total Grand List","Percent",1.01
"East Granby","0900322070",2016,"Griffin Land",10,"Percent of Total Grand List","Percent",0.74
"East Haddam","0900722280",2016,"CT Light & Power",1,"Grand List Value","Number",16418210
"East Haddam","0900722280",2016,"Fox Hopyard Golf Club",2,"Grand List Value","Number",4349360
"East Haddam","0900722280",2016,"RMD Land Development LLC",3,"Grand List Value","Number",2295410
"East Haddam","0900722280",2016,"Goodspeed Real Estate LLC",4,"Grand List Value","Number",2221240
"East Haddam","0900722280",2016,"Banner Country Club",5,"Grand List Value","Number",1918270
"East Haddam","0900722280",2016,"Healthcare Holdings LLC",6,"Grand List Value","Number",1902040
"East Haddam","0900722280",2016,"Fox Hopyard Realty LLC",7,"Grand List Value","Number",1750000
"East Haddam","0900722280",2016,"MJABC, LLC",8,"Grand List Value","Number",1638200
"East Haddam","0900722280",2016,"Goodspeed Opera House Foundation",9,"Grand List Value","Number",1485480
"East Haddam","0900722280",2016,"Wildwood Inc.",10,"Grand List Value","Number",1450440
"East Haddam","0900722280",2016,"CT Light & Power",1,"Percent of Net Grand List","Percent",1.91
"East Haddam","0900722280",2016,"Fox Hopyard Golf Club",2,"Percent of Net Grand List","Percent",0.51
"East Haddam","0900722280",2016,"RMD Land Development LLC",3,"Percent of Net Grand List","Percent",0.27
"East Haddam","0900722280",2016,"Goodspeed Real Estate LLC",4,"Percent of Net Grand List","Percent",0.26
"East Haddam","0900722280",2016,"Banner Country Club",5,"Percent of Net Grand List","Percent",0.22
"East Haddam","0900722280",2016,"Healthcare Holdings LLC",6,"Percent of Net Grand List","Percent",0.22
"East Haddam","0900722280",2016,"Fox Hopyard Realty LLC",7,"Percent of Net Grand List","Percent",0.2
"East Haddam","0900722280",2016,"MJABC, LLC",8,"Percent of Net Grand List","Percent",0.19
"East Haddam","0900722280",2016,"Goodspeed Opera House Foundation",9,"Percent of Net Grand List","Percent",0.17
"East Haddam","0900722280",2016,"Wildwood Inc.",10,"Percent of Net Grand List","Percent",0.17
"East Haddam","0900722280",2016,"CT Light & Power",1,"Percent of Top 10 Total Grand List","Percent",46.34
"East Haddam","0900722280",2016,"Fox Hopyard Golf Club",2,"Percent of Top 10 Total Grand List","Percent",12.28
"East Haddam","0900722280",2016,"RMD Land Development LLC",3,"Percent of Top 10 Total Grand List","Percent",6.48
"East Haddam","0900722280",2016,"Goodspeed Real Estate LLC",4,"Percent of Top 10 Total Grand List","Percent",6.27
"East Haddam","0900722280",2016,"Banner Country Club",5,"Percent of Top 10 Total Grand List","Percent",5.41
"East Haddam","0900722280",2016,"Healthcare Holdings LLC",6,"Percent of Top 10 Total Grand List","Percent",5.37
"East Haddam","0900722280",2016,"Fox Hopyard Realty LLC",7,"Percent of Top 10 Total Grand List","Percent",4.94
"East Haddam","0900722280",2016,"MJABC, LLC",8,"Percent of Top 10 Total Grand List","Percent",4.62
"East Haddam","0900722280",2016,"Goodspeed Opera House Foundation",9,"Percent of Top 10 Total Grand List","Percent",4.19
"East Haddam","0900722280",2016,"Wildwood Inc.",10,"Percent of Top 10 Total Grand List","Percent",4.09
"East Haddam","0900722280",2016,"CT Light & Power",1,"Percent of Total Grand List","Percent",1.89
"East Haddam","0900722280",2016,"Fox Hopyard Golf Club",2,"Percent of Total Grand List","Percent",0.5
"East Haddam","0900722280",2016,"RMD Land Development LLC",3,"Percent of Total Grand List","Percent",0.26
"East Haddam","0900722280",2016,"Goodspeed Real Estate LLC",4,"Percent of Total Grand List","Percent",0.26
"East Haddam","0900722280",2016,"Banner Country Club",5,"Percent of Total Grand List","Percent",0.22
"East Haddam","0900722280",2016,"Healthcare Holdings LLC",6,"Percent of Total Grand List","Percent",0.22
"East Haddam","0900722280",2016,"Fox Hopyard Realty LLC",7,"Percent of Total Grand List","Percent",0.2
"East Haddam","0900722280",2016,"MJABC, LLC",8,"Percent of Total Grand List","Percent",0.19
"East Haddam","0900722280",2016,"Goodspeed Opera House Foundation",9,"Percent of Total Grand List","Percent",0.17
"East Haddam","0900722280",2016,"Wildwood Inc.",10,"Percent of Total Grand List","Percent",0.17
"East Hampton","0900722490",2016,"CT Light & Power",1,"Grand List Value","Number",15593400
"East Hampton","0900722490",2016,"Landmark East Hampton",2,"Grand List Value","Number",7400000
"East Hampton","0900722490",2016,"Hampton 66 LLC",3,"Grand List Value","Number",3261600
"East Hampton","0900722490",2016,"Skyline Estates LLC",4,"Grand List Value","Number",2276590
"East Hampton","0900722490",2016,"East High Street Realty LLC",5,"Grand List Value","Number",2336370
"East Hampton","0900722490",2016,"Global Self Storage LLC",6,"Grand List Value","Number",2099452
"East Hampton","0900722490",2016,"Rechovos Coropration",7,"Grand List Value","Number",1938020
"East Hampton","0900722490",2016,"Edward Jackowitz/American Distilling",8,"Grand List Value","Number",2228560
"East Hampton","0900722490",2016,"Pauls & Sandys Too Inc",9,"Grand List Value","Number",2073090
"East Hampton","0900722490",2016,"Z Inc",10,"Grand List Value","Number",1768000
"East Hampton","0900722490",2016,"CT Light & Power",1,"Percent of Net Grand List","Percent",1.36
"East Hampton","0900722490",2016,"Landmark East Hampton",2,"Percent of Net Grand List","Percent",0.65
"East Hampton","0900722490",2016,"Hampton 66 LLC",3,"Percent of Net Grand List","Percent",0.29
"East Hampton","0900722490",2016,"Skyline Estates LLC",4,"Percent of Net Grand List","Percent",0.2
"East Hampton","0900722490",2016,"East High Street Realty LLC",5,"Percent of Net Grand List","Percent",0.2
"East Hampton","0900722490",2016,"Global Self Storage LLC",6,"Percent of Net Grand List","Percent",0.18
"East Hampton","0900722490",2016,"Rechovos Coropration",7,"Percent of Net Grand List","Percent",0.17
"East Hampton","0900722490",2016,"Edward Jackowitz/American Distilling",8,"Percent of Net Grand List","Percent",0.19
"East Hampton","0900722490",2016,"Pauls & Sandys Too Inc",9,"Percent of Net Grand List","Percent",0.18
"East Hampton","0900722490",2016,"Z Inc",10,"Percent of Net Grand List","Percent",0.15
"East Hampton","0900722490",2016,"CT Light & Power",1,"Percent of Top 10 Total Grand List","Percent",38.06
"East Hampton","0900722490",2016,"Landmark East Hampton",2,"Percent of Top 10 Total Grand List","Percent",18.06
"East Hampton","0900722490",2016,"Hampton 66 LLC",3,"Percent of Top 10 Total Grand List","Percent",7.96
"East Hampton","0900722490",2016,"Skyline Estates LLC",4,"Percent of Top 10 Total Grand List","Percent",5.56
"East Hampton","0900722490",2016,"East High Street Realty LLC",5,"Percent of Top 10 Total Grand List","Percent",5.7
"East Hampton","0900722490",2016,"Global Self Storage LLC",6,"Percent of Top 10 Total Grand List","Percent",5.12
"East Hampton","0900722490",2016,"Rechovos Coropration",7,"Percent of Top 10 Total Grand List","Percent",4.73
"East Hampton","0900722490",2016,"Edward Jackowitz/American Distilling",8,"Percent of Top 10 Total Grand List","Percent",5.44
"East Hampton","0900722490",2016,"Pauls & Sandys Too Inc",9,"Percent of Top 10 Total Grand List","Percent",5.06
"East Hampton","0900722490",2016,"Z Inc",10,"Percent of Top 10 Total Grand List","Percent",4.31
"East Hampton","0900722490",2016,"CT Light & Power",1,"Percent of Total Grand List","Percent",1.36
"East Hampton","0900722490",2016,"Landmark East Hampton",2,"Percent of Total Grand List","Percent",0.64
"East Hampton","0900722490",2016,"Hampton 66 LLC",3,"Percent of Total Grand List","Percent",0.28
